second,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
50,excellent,2.584318372,26.1,36.14,27.12,14.71,48.22,7.23,2.19,1.39,32.45,15.75,56.5,33.9
51,excellent,2.58477793,25.72,36.57,27.39,14.83,48.6,7.06,2.18,1.39,32.45,15.62,56.5,34
52,excellent,2.585242917,26.1,36.57,27.12,14.83,48.6,7.29,2.19,1.39,32.45,15.25,56.5,33.9
53,excellent,2.585713389,25.6,36.35,27.95,14.71,48.6,7.56,2.19,1.38,32.09,15.75,56.5,33.9
54,excellent,2.586189406,24.29,33.4,26.2,14.47,41.54,6.79,2.24,1.47,30.57,14.94,56.5,33.9
55,excellent,2.586671027,24.29,33.4,26.07,14.53,41.25,6.81,2.23,1.48,30.73,15.31,56.5,33.9
56,excellent,2.587158312,24.17,32.85,26.07,14.53,41.25,6.76,2.23,1.47,30.41,14.76,56.5,33.9
57,excellent,2.587651321,24.17,33.21,26.07,14.53,41.83,6.79,2.23,1.44,30.25,14.88,56.5,33.9
58,excellent,2.588150114,23.95,33.03,26.2,14.59,41.54,6.76,2.23,1.45,30.25,15.25,56.5,33.9
59,excellent,2.588654753,23.95,32.32,25.82,14.36,40.96,6.68,2.22,1.45,30.09,15.18,56.5,33.8
60,excellent,2.589165299,23.72,32.32,26.2,14.42,40.96,6.6,2.23,1.47,30.41,15.25,56.5,33.9
61,excellent,2.589681814,23.72,32.67,26.07,14.53,41.83,6.52,2.24,1.47,31.4,15.18,56.5,33.8
62,excellent,2.590204361,23.95,32.49,26.07,14.53,41.83,6.7,2.24,1.48,30.25,14.7,56.5,33.8
63,excellent,2.590733003,23.61,33.03,26.46,14.59,41.83,6.68,2.24,1.47,30.09,15.06,56.5,33.8
64,excellent,2.591267804,23.72,33.21,26.46,14.65,41.83,6.7,2.24,1.49,30.41,15.18,56.5,33.8
65,excellent,2.591808827,23.61,32.14,25.82,14.36,40.96,6.7,2.22,1.45,30.57,15,56.5,33.8
66,excellent,2.592356136,23.39,32.49,25.82,14.36,40.96,6.65,2.22,1.45,29.61,14.64,56.5,33.5
67,excellent,2.592909798,22.96,31.8,25.69,14.3,40.11,6.46,2.22,1.44,29.3,14.7,56.5,33.8
68,excellent,2.593469877,22.54,31.29,25.69,14.13,39.29,6.36,2.21,1.47,29.3,14.46,56.5,33.8
69,excellent,2.59403644,22.24,30.8,24.96,13.96,36.99,6.16,2.17,1.39,28.12,14.11,56.5,33.8
70,excellent,2.594609552,21.93,30,24.72,13.9,36.27,6.11,2.18,1.44,28.26,14.23,56.5,33.9
71,excellent,2.595189282,20.6,28.63,23.69,13.35,33.2,5.67,2.12,1.37,26.2,13.61,56.5,33.8
72,excellent,2.595775695,20.42,27.92,23.47,13.3,32.6,5.48,2.11,1.37,25.95,13.4,56.5,33.7
73,excellent,2.596368861,20.24,27.78,23.47,13.35,32.4,5.43,2.13,1.38,26.07,13.45,56.5,33.7
74,excellent,2.596968847,19.45,26.82,22.83,12.98,30.35,5.28,2.11,1.35,25.07,13.34,56.5,33.6
75,excellent,2.597575723,18.87,25.79,22.2,12.78,28.82,4.97,2.08,1.33,24.36,12.62,56.5,33.6
76,excellent,2.598189557,18.87,25.54,21.9,12.78,28.82,5.08,2.13,1.34,24.48,12.67,56.5,33.6
77,excellent,2.598810419,21.64,29.08,24.14,14.13,36.99,5.84,2.31,1.44,28.7,14.06,56.5,33.7
78,excellent,2.599438381,18.47,26.82,23.04,13.09,30.53,5.1,2.06,1.32,24.83,13.03,56.5,33.7
79,excellent,2.600073512,20.97,29.08,24.03,13.9,35.13,5.74,2.23,1.42,27.69,14.11,56.5,33.7
80,excellent,2.600715883,22.03,30.31,24.72,14.36,39.56,6.08,2.28,1.44,29.3,14.17,56.5,33.7
81,excellent,2.601365567,22.24,31.12,25.32,14.42,40.11,6.11,2.27,1.45,29.46,14.4,56.5,33.8
82,excellent,2.602022635,22.34,31.63,25.32,14.47,40.96,6.13,2.26,1.47,29.61,14.7,56.5,33.7
83,excellent,2.60268716,22.54,32.32,25.82,14.53,41.25,6.13,2.26,1.47,29.93,15.06,56.5,33.8
84,excellent,2.603359215,22.54,32.67,26.2,14.59,41.54,6.06,2.26,1.47,29.93,15.06,56.5,33.8
85,excellent,2.604038874,22.65,32.85,26.46,14.59,41.54,6.41,2.26,1.47,30.09,14.64,56.5,33.8
86,excellent,2.60472621,22.65,33.03,26.59,14.59,41.83,6.46,2.26,1.47,30.09,14.46,56.5,33.8
87,excellent,2.605421298,22.65,33.4,26.72,14.59,42.13,6.46,2.26,1.48,30.25,14.46,56.5,33.9
88,excellent,2.606124213,22.75,33.4,26.85,14.59,42.13,6.49,2.24,1.48,30.25,14.94,56.5,33.8
89,excellent,2.606835029,22.75,33.58,26.98,14.59,42.44,6.46,2.24,1.48,30.25,14.46,56.5,33.8
90,excellent,2.607553823,22.75,33.58,26.98,14.59,42.13,6.18,2.24,1.48,30.25,14.64,56.5,33.8
91,excellent,2.608280671,22.75,33.77,26.98,14.59,42.44,6.11,2.23,1.48,30.41,14.64,56.5,33.8
92,excellent,2.609015649,22.75,33.77,26.85,14.59,42.44,6.23,2.23,1.47,30.25,14.76,56.5,33.8
93,excellent,2.609758834,22.75,33.96,26.85,14.59,42.13,6.31,2.23,1.47,30.25,14.88,56.5,33.7
94,excellent,2.610510304,22.75,33.96,26.85,14.59,42.44,6.26,2.23,1.47,30.25,14.58,56.5,33.7
95,excellent,2.611270136,22.86,33.96,26.98,14.59,42.44,6.23,2.23,1.48,30.41,14.58,56.5,33.7
96,excellent,2.612038409,22.86,34.15,26.98,14.59,42.74,6.16,2.23,1.47,30.41,14.4,56.5,33.7
97,excellent,2.612815201,22.65,33.96,26.85,14.59,42.44,6.13,2.22,1.47,30.25,14.52,56.5,33.7
98,excellent,2.613600591,22.65,33.96,26.46,14.59,42.44,6.08,2.23,1.47,30.41,14.58,56.5,33.7
99,excellent,2.614394659,22.65,33.77,26.85,14.53,42.13,6.18,2.23,1.48,30.41,14.52,56.5,33.7
100,excellent,2.615197484,22.54,33.77,26.72,14.53,42.13,6.08,2.22,1.47,30.25,14.46,56.5,33.7
101,excellent,2.616009146,22.44,33.58,26.72,14.53,41.54,6.11,2.22,1.47,30.25,14.58,56.5,33.7
102,excellent,2.616829726,22.24,33.21,26.46,14.42,41.25,6.28,2.22,1.47,29.93,14.29,56.5,33.7
103,excellent,2.617659306,22.14,33.03,26.33,14.36,40.67,6.21,2.21,1.45,29.77,14.23,56.5,33.7
104,excellent,2.618497965,22.03,33.03,26.46,14.36,40.39,6.16,2.21,1.47,29.61,14.29,56.5,33.7
105,excellent,2.619345786,21.64,32.32,26.07,14.24,39.29,6.13,2.19,1.45,29.15,14.11,56.5,33.7
106,excellent,2.62020285,20.24,30.8,26.07,13.68,33.41,5.39,2.12,1.4,27.41,13.56,56.5,33.8
107,excellent,2.62106924,20.51,30,24.96,13.84,35.58,5.86,2.19,1.42,27.83,13.72,56.5,33.8
108,excellent,2.621945038,20.15,29.53,24.72,13.62,34.47,5.69,2.16,1.4,27.27,13.56,56.5,33.8
109,excellent,2.622830328,20.06,29.08,24.37,13.68,34.25,5.69,2.18,1.42,28.41,13.56,56.5,33.8
110,excellent,2.623725193,21.16,30.63,25.44,14.24,38.5,6.08,2.26,1.45,29.15,14.23,56.5,33.8
111,excellent,2.624629715,21.35,31.29,25.82,14.3,39.83,6.26,2.23,1.45,29.46,14.17,56.5,33.8
112,excellent,2.625543979,21.54,31.97,26.2,14.36,40.67,6.36,2.24,1.47,29.77,14.29,56.5,33.8
113,excellent,2.626468069,21.74,32.49,26.46,14.42,40.96,6.41,2.24,1.47,29.93,14.23,56.5,33.9
114,excellent,2.627402069,21.93,32.85,26.72,14.47,41.54,6.28,2.24,1.47,30.09,14.23,56.5,33.9
115,excellent,2.628346065,21.93,33.21,26.72,14.47,41.25,6.26,2.24,1.47,30.09,14.23,56.5,33.9
116,excellent,2.62930014,22.03,33.4,26.85,14.47,41.54,6.31,2.24,1.47,30.09,14.23,56.5,33.9
117,excellent,2.63026438,22.03,33.21,26.98,14.42,41.54,6.31,2.24,1.47,30.09,14.29,56.5,33.9
118,excellent,2.631238871,22.14,33.77,27.39,14.59,41.83,6.36,2.24,1.48,30.41,14.4,56.5,34.1
119,excellent,2.632223698,22.14,33.96,27.53,14.59,42.44,6.36,2.24,1.49,30.57,14.46,56.5,34.1
120,excellent,2.633218946,22.34,34.15,27.53,14.59,42.74,6.36,2.26,1.49,30.73,14.4,56.5,34.1
121,excellent,2.634224703,22.24,33.96,27.67,14.53,42.44,6.36,2.26,1.49,30.57,14.4,56.5,34.1
122,excellent,2.635241054,22.34,33.77,27.53,14.59,42.74,6.36,2.27,1.49,30.57,15,56.5,34.1
123,excellent,2.636268085,22.44,33.96,27.53,14.59,43.05,6.41,2.27,1.49,30.73,15,56.5,34.1
124,excellent,2.637305884,22.54,33.96,27.67,14.65,43.05,6.41,2.27,1.49,30.73,15.06,56.5,34.1
125,excellent,2.638354537,22.75,34.53,27.95,14.71,44.01,6.52,2.27,1.5,31.06,15.18,56.5,34.3
126,excellent,2.639414131,22.75,34.93,28.09,14.71,44.34,6.52,2.27,1.5,31.23,15.18,56.5,34.3
127,excellent,2.640484752,22.75,34.93,27.95,14.65,44.01,6.52,2.27,1.5,31.06,15.31,56.5,34.3
128,excellent,2.64156649,22.65,34.93,27.95,14.59,44.01,6.46,2.26,1.5,31.06,15.12,56.5,34.3
129,excellent,2.642659429,22.65,34.73,28.09,14.59,44.01,6.41,2.26,1.5,30.9,15.06,56.5,34.3
130,excellent,2.643763659,19.54,28.49,24.96,13.41,31.82,5.34,2.26,1.56,26.2,13.72,56.5,34.5
131,excellent,2.644879266,21.74,31.8,27.12,14.53,39.29,5.96,2.38,1.63,29.93,14.88,56.5,34.4
132,excellent,2.646006338,21.64,31.97,27.25,14.47,39.56,5.88,2.37,1.62,29.93,14.82,56.5,34.5
133,excellent,2.647144963,21.64,31.8,27.12,14.42,39.56,5.93,2.36,1.61,29.77,14.82,56.5,34.4
134,excellent,2.648295228,21.54,31.8,27.12,14.42,39.29,5.93,2.36,1.59,29.77,14.76,56.5,34.5
135,excellent,2.649457221,21.64,31.97,27.25,14.47,39.83,5.96,2.36,1.61,29.93,14.82,56.5,34.5
136,excellent,2.650631031,21.64,32.14,27.25,14.53,40.11,6.03,2.37,1.62,29.93,14.82,56.5,34.4
137,excellent,2.651816744,21.64,32.14,27.39,14.53,40.11,6.06,2.37,1.61,29.93,14.82,56.5,34.4
138,excellent,2.653014449,21.64,32.14,27.25,14.53,39.83,5.96,2.37,1.62,30.09,14.76,56.5,34.4
139,excellent,2.654224232,21.74,32.49,27.39,14.59,40.39,5.98,2.37,1.62,30.09,14.82,56.5,34.4
140,excellent,2.655446183,21.74,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.4
141,excellent,2.656680388,21.64,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.5
142,excellent,2.657926936,21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,30.09,14.88,56.5,34.5
143,excellent,2.659185913,21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,29.93,14.88,56.5,34.5
144,excellent,2.660457407,21.64,32.49,27.53,14.59,40.67,5.91,2.36,1.62,30.25,14.82,56.5,34.5
145,excellent,2.661741506,21.64,32.49,27.67,14.65,40.96,5.88,2.37,1.62,30.25,14.88,56.5,34.5
146,excellent,2.663038297,21.74,32.67,27.81,14.65,41.25,5.84,2.37,1.62,30.41,14.94,56.5,34.5
147,excellent,2.664347866,21.74,32.85,27.81,14.65,41.25,5.86,2.36,1.62,30.41,14.94,56.5,34.5
148,excellent,2.6656703,21.74,33.03,27.95,14.65,41.25,5.88,2.37,1.62,30.41,14.94,56.5,34.5
149,excellent,2.667005687,21.74,33.21,27.95,14.71,41.25,5.86,2.37,1.62,30.57,14.94,56.5,34.5
150,excellent,2.668354112,21.84,33.4,28.09,14.71,41.83,5.74,2.37,1.63,30.57,14.94,56.5,34.5
151,excellent,2.669715663,21.93,33.58,28.09,14.77,41.83,5.91,2.37,1.63,30.57,15,56.5,34.5
152,excellent,2.671090425,21.93,33.58,28.23,14.77,42.13,5.93,2.38,1.65,30.73,15,56.5,34.5
153,excellent,2.672478483,21.93,33.77,28.23,14.71,41.83,5.64,2.38,1.63,30.73,15,56.5,34.5
154,excellent,2.673879924,21.93,33.77,28.23,14.71,41.83,5.86,2.38,1.63,30.57,15.12,56.5,34.5
155,excellent,2.675294833,21.93,33.77,28.23,14.71,41.83,5.81,2.37,1.63,30.57,14.94,56.5,34.5
156,excellent,2.676723295,21.93,33.58,28.23,14.71,41.83,5.67,2.38,1.65,30.73,15.12,56.5,34.5
157,excellent,2.678165394,21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.9,14.76,56.5,34.5
158,excellent,2.679621215,21.93,33.77,28.37,14.77,42.13,5.71,2.38,1.65,30.73,14.58,56.6,34.5
159,excellent,2.681090842,22.03,33.96,28.37,14.77,42.13,5.74,2.38,1.65,30.9,14.58,56.6,34.5
160,excellent,2.682574358,22.03,33.77,28.37,14.77,42.13,5.76,2.4,1.66,30.9,15.18,56.6,34.5
161,excellent,2.684071846,22.03,33.96,28.52,14.83,42.13,5.76,2.41,1.67,30.9,15.18,56.6,34.5
162,excellent,2.68558339,22.14,33.96,28.52,14.83,42.13,5.79,2.41,1.67,30.9,15.18,56.6,34.5
163,excellent,2.687109072,22.03,34.15,28.66,14.83,42.13,5.86,2.38,1.67,30.9,15.25,56.6,34.5
164,excellent,2.688648974,22.14,34.15,28.66,14.83,42.13,5.91,2.41,1.68,30.9,14.7,56.6,34.5
165,excellent,2.690203177,22.14,34.15,28.81,14.83,42.44,5.84,2.41,1.68,31.06,14.82,56.6,34.5
166,excellent,2.691771762,22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.7,56.6,34.6
167,excellent,2.69335481,22.03,33.96,28.81,14.83,42.44,5.91,2.42,1.68,31.06,14.52,56.6,34.6
168,excellent,2.694952401,22.14,33.96,28.81,14.83,42.44,5.88,2.42,1.68,31.06,14.64,56.6,34.6
169,excellent,2.696564614,22.14,33.77,28.96,14.83,42.13,5.79,2.44,1.7,31.06,14.64,56.6,34.6
170,excellent,2.698191529,22.03,33.77,28.66,14.83,42.13,5.79,2.42,1.68,31.06,14.7,56.6,34.6
171,excellent,2.699833223,21.93,33.77,28.66,14.83,42.44,5.86,2.41,1.67,30.9,14.82,56.6,34.6
172,excellent,2.701489774,21.93,33.96,28.66,14.77,42.44,5.88,2.41,1.67,31.06,14.46,56.6,34.6
173,excellent,2.70316126,22.03,33.96,28.52,14.77,42.44,5.76,2.4,1.66,30.9,14.7,56.6,34.6
174,excellent,2.704847756,22.03,33.96,28.52,14.77,42.13,5.88,2.4,1.66,30.9,14.7,56.6,34.5
175,excellent,2.706549339,22.03,33.96,28.66,14.77,42.44,5.84,2.4,1.65,31.06,14.7,56.6,34.6
176,excellent,2.708266084,22.03,34.15,28.66,14.77,42.44,5.91,2.4,1.66,30.9,14.76,56.6,34.6
177,excellent,2.709998066,22.03,33.96,28.66,14.77,42.44,5.88,2.38,1.65,30.9,14.76,56.6,34.6
178,excellent,2.711745358,22.03,33.77,28.52,14.71,42.13,5.86,2.38,1.63,30.73,14.82,56.6,34.6
179,excellent,2.713508033,25.72,9.75,9.42,25.63,15.27,3.82,5.72,1.26,37.22,16.98,56.7,36.4
180,excellent,2.715286163,25.35,9.71,9.35,25.5,15.14,3.85,5.7,1.24,37,17.12,57.1,36.5
181,excellent,2.717079821,25.47,9.67,9.35,25.75,15.14,3.85,5.72,1.28,36.35,17.05,57.4,36.3
182,excellent,2.718889076,25.35,9.56,9.27,25.63,15.07,3.89,5.74,1.27,36.78,16.84,59.7,36.3
183,excellent,2.720713999,25.11,9.34,9.09,25.63,14.88,3.89,5.88,1.29,35.93,16.7,58.9,36.3
184,excellent,2.722554659,24.99,9.3,9.02,25.75,14.76,3.84,5.93,1.29,35.93,16.84,59.4,36.3
185,excellent,2.724411124,24.63,8.77,8.05,22.86,13.45,3.82,5.86,1.2,33.55,15.37,62,35.7
186,excellent,2.726283462,24.99,8.91,8.34,24.77,13.79,3.89,5.86,1.23,33.17,15.75,62.7,35.8
187,excellent,2.728171739,25.23,9.05,8.44,24.89,13.74,3.89,5.86,1.26,33.36,15.95,63.1,35.6
188,excellent,2.73007602,25.35,9.16,8.54,25.01,13.85,3.95,5.86,1.27,33.55,16.08,63.5,35.6
189,excellent,2.731996371,25.23,9.19,8.61,25.25,13.97,3.95,5.86,1.24,33.55,16.15,63.7,35.5
190,excellent,2.733932856,25.72,9.3,8.68,25.5,14.03,4,5.95,1.32,33.55,16.35,64,35.5
191,excellent,2.735885537,25.6,9.37,8.68,25.25,13.91,4.02,5.98,1.32,33.36,16.63,64.3,35.5
192,excellent,2.737854475,25.6,9.34,8.74,25.75,13.97,4.04,6.02,1.34,33.74,16.7,64.5,35.5
193,excellent,2.739839733,25.6,9.41,8.71,25.75,13.85,4.04,6.02,1.32,33.93,16.91,64,34.8
194,excellent,2.74184137,26.1,9.67,8.95,25.88,14.09,4.23,6.24,1.47,34.31,17.34,64.6,35.6
195,excellent,2.743859444,25.47,9.23,8.51,25.13,13.62,3.95,5.88,1.22,33.17,16.77,64.6,35.6
196,excellent,2.745894015,25.35,9.12,8.51,25.13,13.68,3.93,5.91,1.23,32.63,16.7,64.7,35.6
197,excellent,2.747945137,25.23,9.16,8.51,25.13,13.68,3.95,5.88,1.23,32.45,16.63,64.6,35.7
198,excellent,2.750012868,25.11,9.12,8.44,25.01,13.68,3.91,5.86,1.18,32.99,15.62,64.6,35.8
199,excellent,2.752097261,25.47,11.49,8.44,25.13,13.68,3.91,5.86,1.18,32.45,16.63,64.7,35.8
200,excellent,2.754198371,25.35,9.19,8.44,25.13,13.68,3.95,5.88,1.21,32.45,16.56,64.6,35.6
201,excellent,2.756316249,25.11,9.16,8.44,24.89,13.68,3.91,5.84,1.2,32.27,16.35,64.6,35.9
202,excellent,2.758450948,25.47,9.16,8.44,25.01,13.62,3.98,5.86,1.2,32.09,16.42,64.7,35.9
203,excellent,2.760602516,25.23,9.23,8.41,25.25,13.68,3.93,5.88,1.21,32.27,16.42,64.8,35.9
204,excellent,2.762771004,25.23,9.12,8.41,25.01,13.62,3.87,5.88,1.21,32.09,16.42,65.3,36
205,excellent,2.764956458,25.11,9.19,8.44,24.89,13.68,4,5.84,1.18,32.27,16.49,65.4,36
206,excellent,2.767158926,25.47,9.23,8.41,25.13,13.68,4,5.86,1.21,31.92,16.77,65.4,36
207,excellent,2.769378453,25.47,9.23,8.41,24.89,13.62,4,5.88,1.18,32.27,16.77,64.8,35.8
208,excellent,2.771615083,25.47,9.19,8.41,24.77,13.45,3.98,5.88,1.22,32.09,16.63,65.3,36.1
209,excellent,2.773868859,25.23,9.3,8.41,25.01,13.57,4.04,5.88,1.18,32.09,16.84,65.4,36.1
210,excellent,2.776139822,25.23,9.23,8.41,25.01,13.51,4.06,5.88,1.22,31.92,16.84,65.6,36.1
211,excellent,2.778428013,25.11,9.16,8.41,25.01,13.45,4.06,5.91,1.23,31.92,16.63,65.6,36.3
212,excellent,2.780733471,25.35,9.19,8.37,24.65,13.29,4.02,5.91,1.22,31.92,16.63,65.7,36.1
213,excellent,2.783056235,25.11,9.19,8.37,24.65,13.29,4.08,5.91,1.23,31.92,16.7,65.8,36.2
214,excellent,2.785396339,25.47,9.19,8.37,24.77,13.29,3.98,5.93,1.23,31.74,16.7,66.4,37
215,excellent,2.787753821,25.47,9.26,8.37,24.77,13.29,4.1,5.95,1.23,31.92,16.84,65.8,36.2
216,excellent,2.790128713,25.35,9.3,8.41,24.77,13.23,4.08,5.98,1.23,31.92,16.77,65.9,36.3
217,excellent,2.792521049,25.35,9.3,8.44,25.01,13.23,4.12,5.93,1.26,31.92,16.84,65.9,36.2
218,excellent,2.794930858,25.97,9.67,8.74,25.38,13.4,4.33,6.27,1.43,32.99,17.34,65.9,36.5
219,excellent,2.797358173,25.72,9.56,8.71,25.38,13.4,4.37,6.29,1.44,31.92,17.12,65.9,36.4
220,excellent,2.79980302,24.87,9.12,8.24,24.42,12.96,4.06,5.91,1.21,31.23,16.56,66,36.4
221,excellent,2.802265427,24.87,9.09,8.24,24.42,12.96,3.98,5.88,1.17,31.23,16.42,66,36.4
222,excellent,2.80474542,24.99,9.05,8.21,24.3,12.91,3.95,5.91,1.16,31.4,16.42,66,36.4
223,excellent,2.807243023,24.99,9.05,8.21,24.53,13.02,4.02,5.88,1.16,30.9,16.49,66,36.5
224,excellent,2.80975826,25.23,9.16,8.18,24.3,12.86,4.04,5.91,1.15,31.57,16.49,66.1,36.5
225,excellent,2.812291151,24.99,9.05,8.15,24.18,12.8,4.06,5.88,1.12,31.23,16.35,66,36.5
226,excellent,2.814841717,24.87,9.16,8.18,24.18,12.86,4,5.91,1.15,31.23,16.28,66.1,36.5
227,excellent,2.817409977,25.11,9.16,8.18,24.3,12.8,3.98,5.88,1.16,31.06,16.49,66.1,36.5
228,excellent,2.819995948,25.35,9.05,8.15,24.3,12.86,4.04,5.88,1.15,30.73,16.28,66.2,36.5
229,excellent,2.822599646,25.11,9.09,8.11,24.07,12.75,4.04,5.86,1.15,30.57,16.28,66.2,36.6
230,excellent,2.825221085,24.87,9.05,8.15,24.18,12.75,4.04,5.86,1.16,30.73,16.42,66.3,36.6
231,excellent,2.827860279,24.99,9.12,8.11,24.18,12.7,4.1,5.88,1.14,32.99,16.56,66.2,36.6
232,excellent,2.830517239,25.11,9.12,8.11,24.3,12.65,4.12,5.91,1.16,30.41,16.77,66.3,36.6
