,principal component 1,principal component 2,class
52,4.821821197490715,2.451500333648699,excellent
53,4.491386807619643,2.5782045011781154,excellent
54,4.526580074241186,2.5897265897395263,excellent
55,4.445456383044031,2.5542176180783924,excellent
56,4.422923401611911,2.437805824542247,excellent
57,4.449227404273604,2.4604900386828548,excellent
58,4.380625996580898,2.4184751302876877,excellent
59,4.437980831379896,2.526372406028585,excellent
60,4.501108920754456,2.5508779540028734,excellent
61,4.446473708010204,2.614258982121448,excellent
62,4.468037297185932,2.5917415868876406,excellent
63,4.530648589781567,2.6787734679342634,excellent
64,4.369178470221678,2.4279690784362886,excellent
65,4.314468380786267,2.4659997014227497,excellent
66,4.22954067203254,2.376629977574721,excellent
67,4.206373166979224,2.5065703617579542,excellent
68,3.904193903080438,2.0531320230923855,excellent
69,3.932303079025468,2.2335055137832067,excellent
70,3.488780463283441,1.8226090260452608,excellent
71,3.4169562312973443,1.788250521025532,excellent
72,3.427407610245234,1.8234723518385285,excellent
73,3.1921562607339484,1.6110203095729294,excellent
74,2.9741077887995306,1.4706277678100101,excellent
75,2.976353895235645,1.494232207651229,excellent
76,3.9058739332454118,2.198167902307042,excellent
77,3.1005227056812736,1.5181914068511984,excellent
78,3.7601860106703677,2.0757274796500456,excellent
79,4.074630062076854,2.311263158799312,excellent
80,4.180410049123684,2.407723385513831,excellent
81,4.27591094836497,2.523318674907826,excellent
82,4.366252369504365,2.550297357416138,excellent
83,4.4015089631931525,2.583426764433418,excellent
84,4.397513790621157,2.620058354335108,excellent
85,4.4029499216506265,2.6491525265378635,excellent
86,4.447386934059483,2.722309342164456,excellent
87,4.485273457786089,2.7026582532334427,excellent
88,4.473856131748971,2.7459855625915566,excellent
89,4.480953898751322,2.726370677579983,excellent
90,4.500409757726774,2.7405687795076843,excellent
91,4.479584608082206,2.683879606674173,excellent
92,4.484550792093456,2.6763253607435793,excellent
93,4.473914947299872,2.6991439319797377,excellent
94,4.505123803698678,2.747974076493461,excellent
95,4.491611435663496,2.724279750597881,excellent
96,4.468137669168227,2.703519052682377,excellent
97,4.4629215362723915,2.6827595007447287,excellent
98,4.473733388285982,2.7379683923093485,excellent
99,4.440492780644322,2.6909351765741145,excellent
100,4.424749912720262,2.664552266173338,excellent
101,4.35320901087684,2.6595486743586414,excellent
102,4.283047714425756,2.545965357438023,excellent
103,4.307485153927177,2.637469228973188,excellent
104,4.167475674622189,2.4972519655577763,excellent
105,3.7442149233941433,2.1342355989135546,excellent
106,3.794416239826085,2.1942423893354905,excellent
107,3.662851075034165,2.0712832500201093,excellent
108,3.7037718847051604,2.1229511462101454,excellent
109,4.064167920140522,2.3962020129584003,excellent
110,4.144581105484213,2.4683239878481946,excellent
111,4.257326085186778,2.611816030165082,excellent
112,4.301314831333173,2.6435081514259204,excellent
113,4.351997190125972,2.674673164874775,excellent
114,4.356275772593017,2.6784395541622104,excellent
115,4.376680708341427,2.6967386354580203,excellent
116,4.377484756916009,2.6957191848241924,excellent
117,4.462209580984144,2.7699456078659876,excellent
118,4.512385119251441,2.8434816924669537,excellent
119,4.5342637867071085,2.8558291747059332,excellent
120,4.514907294824282,2.8531744655604068,excellent
121,4.553442428339084,2.8150295262450045,excellent
122,4.575146275905868,2.8276293351727277,excellent
123,4.590764184937917,2.8251140393774516,excellent
124,4.684828580840993,2.9165250858565863,excellent
125,4.715825073130736,2.945119777733776,excellent
126,4.701739803801919,2.927165568426643,excellent
127,4.6845044741937025,2.941433200361021,excellent
